,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,command_count,last_command_mss_coarse_time,last_command_mss_fine_time,word__spare,last_command_opcode,last_command_parameter_1,last_command_parameter_2,last_command_parameter_3,last_command_parameter_4,last_command_parameter_5,last_command_parameter_6,word_23_spare,word_24_spare,word_25_spare,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,command_response_high_word,command_response_low_word
101,03/06/2017 01:34:46.1572,,402,17,0,58,59,0,0,0,1,1025,3,58,49,9423388,0,0,58.0,1172864080.0,12.0,105.0,8.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0
102,03/06/2017 01:34:46.1662,[1553   ] SEQ_RUN seq=151,402,17,0,58,59,0,0,0,1,1026,3,829,49,9423303,0,0,,,,,,,,,,,,,,,,,,,,,
103,03/06/2017 01:34:46.9772,TaskRun   seqTask_151 [uid=1361826659],402,17,0,58,59,0,0,0,1,1026,3,830,49,9423304,0,0,,,,,,,,,,,,,,,,,,,,,
104,03/06/2017 01:34:46.9882,[0000251] cmd:success [0x00000097],402,17,0,58,59,0,0,0,1,1026,3,831,49,9423305,0,0,,,,,,,,,,,,,,,,,,,,,
105,03/06/2017 01:34:46.9982,[151:000] IVB_VIDEO_OUTPUT ivb=1 cam=1,402,17,0,58,59,0,0,0,1,1026,3,832,49,9423310,0,0,,,,,,,,,,,,,,,,,,,,,
106,03/06/2017 01:34:47.0072,[0000252] cmd:success [0x0000000f],402,17,0,58,59,0,0,0,1,1026,3,833,49,9423317,0,0,,,,,,,,,,,,,,,,,,,,,
107,03/06/2017 01:34:47.0172,TaskStop  seqTask_151 [uid=1361826659],402,17,0,58,59,0,0,0,1,1026,3,834,49,9423318,0,0,,,,,,,,,,,,,,,,,,,,,
108,03/06/2017 01:35:28.1134,,402,17,0,58,59,0,0,0,1,1025,3,59,49,9465489,0,0,59.0,1172864122.0,47.0,105.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109,03/06/2017 01:35:28.1264,,402,17,0,58,59,0,0,0,1,1025,3,59,49,9465489,0,0,59.0,1172864122.0,47.0,105.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,03/06/2017 01:35:28.9354,[1553   ] SSD_POWER_ON ssd=1,402,17,0,58,59,0,0,0,1,1026,3,835,49,9465404,0,0,,,,,,,,,,,,,,,,,,,,,
