,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,ascii_data
78,03/06/2017 01:27:37.0743,[130:004] MCB_ENABLE mcb=%1,402,17,0,57,59,0,0,0,1,1026,3,780,49,8994324,0,0,[130:004] MCB_ENABLE mcb=%1
79,03/06/2017 01:27:37.0743,[130:004] MCB_ENABLE mcb=%1,402,17,0,57,59,0,0,0,1,1026,3,780,49,8994324,0,0,[130:004] MCB_ENABLE mcb=%1
80,03/06/2017 01:27:37.0843,[0000229] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,781,49,8994328,0,0,[0000229] cmd:success [0x00000001]
81,03/06/2017 01:27:37.0843,[0000229] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,781,49,8994328,0,0,[0000229] cmd:success [0x00000001]
82,03/06/2017 01:27:37.8953,[130:005] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,782,49,8994328,0,0,[130:005] SEQ_SLEEP dtms=500
83,03/06/2017 01:27:37.8953,[130:005] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,782,49,8994328,0,0,[130:005] SEQ_SLEEP dtms=500
84,03/06/2017 01:27:37.9253,[130:006] MOTOR_ENABLE mcb=%1 mot=1,402,17,0,57,59,0,0,0,1,1026,3,783,49,8994829,0,0,[130:006] MOTOR_ENABLE mcb=%1 mot=1
85,03/06/2017 01:27:37.9253,[130:006] MOTOR_ENABLE mcb=%1 mot=1,402,17,0,57,59,0,0,0,1,1026,3,783,49,8994829,0,0,[130:006] MOTOR_ENABLE mcb=%1 mot=1
86,03/06/2017 01:27:37.9343,[0000230] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,784,49,8994834,0,0,[0000230] cmd:success [0x00000001]
87,03/06/2017 01:27:37.9343,[0000230] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,784,49,8994834,0,0,[0000230] cmd:success [0x00000001]
88,03/06/2017 01:27:37.9423,[130:007] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,785,49,8994835,0,0,[130:007] SEQ_SLEEP dtms=500
89,03/06/2017 01:27:37.9423,[130:007] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,785,49,8994835,0,0,[130:007] SEQ_SLEEP dtms=500
90,03/06/2017 01:27:37.9703,[130:008] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,786,49,8995336,0,0,[130:008] MOTOR_WRITE mcb=%1 mot=1 addr=0x0
