,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,dynamics_profile_amplitude,dynamics_profile_start_frequency,dynamics_profile_stop_frequency,dynamics_profile_start_window,dynamics_profile_stop_window,dynamics_profile_sweep_duration,iv_sweep_mask_cell_string_,iv_sweep_steps,iv_sweep_min_current,iv_sweep_max_current,iv_sweep_duty_cycle,camera_1_on_off,camera_2_on_off,camera_3_on_off,camera_4_on_off,word_22_spare,video_output_camera_no,dynamics_profile_amplitude_start,dynamics_profile_amplitude_stop,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,word_31_spare,current_telemetry_format
28,09/27/2016 01:54:43.9285,402,1,0,51,48,0,0,0,1,1029,3,19,49,1643086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,4626,4626,4626,4626,4626,4626,0
29,09/27/2016 01:54:45.0026,402,1,0,51,48,0,0,0,1,1029,3,20,49,1644086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,5626,5626,5626,5626,5626,5626,0
30,09/27/2016 01:54:46.0917,402,1,0,51,48,0,0,0,1,1029,3,21,49,1645086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,6626,6626,6626,6626,6626,6626,0
31,09/27/2016 01:54:46.9918,402,1,0,51,48,0,0,0,1,1029,3,22,49,1646086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,7626,7626,7626,7626,7626,7626,0
32,09/27/2016 01:54:47.0008,402,1,0,51,48,0,0,0,1,1029,3,22,49,1646086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,7626,7626,7626,7626,7626,7626,0
33,09/27/2016 01:54:48.0899,402,1,0,51,48,0,0,0,1,1029,3,23,49,1647086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,8626,8626,8626,8626,8626,8626,0
34,09/27/2016 01:54:48.9840,402,1,0,51,48,0,0,0,1,1029,3,24,49,1648086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,9626,9626,9626,9626,9626,9626,0
35,09/27/2016 01:54:50.0911,402,1,0,51,48,0,0,0,1,1029,3,25,49,1649086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,10626,10626,10626,10626,10626,10626,0
36,09/27/2016 01:54:50.1001,402,1,0,51,48,0,0,0,1,1029,3,25,49,1649086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,10626,10626,10626,10626,10626,10626,0
37,09/27/2016 01:54:50.1101,402,1,0,51,48,0,0,0,1,1029,3,25,49,1649086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,10626,10626,10626,10626,10626,10626,0
