,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,damper_voltage_1,damper_voltage_2,word_13_spare,word_14_spare,word_15_spare,word_16_spare,temperature_1_left_damper,temperature_2_right_damper,temperature_3_center_mandrel,temperature_4_left_boom,temperature_5_right_boom,temperature_6_spm_1,temperature_7_spm_2,temperature_8_spm_3,temperature_9_spm_4,temperature_10_spm_5,temperature_11_spm_6,temperature_12_retraction_motor,temperature_13_spare,temperature_14_spare,temperature_15_spare,temperature_16_spare
20779,09/27/2016 02:01:29.0620,,402,1,0,52,48,0,0,0,1,1032,3,848,49,2047887,0,0,0.0709838867188,0.0659790039062,16210.0,16210.0,16210.0,16210.0,-31.09375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.25,273.0,273.0,273.0,273.0
20780,09/27/2016 02:01:29.9161,,402,1,0,52,48,0,0,0,1,1032,3,849,49,2048387,0,0,0.0709838867188,0.066162109375,16710.0,16710.0,16710.0,16710.0,-31.09375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.25,273.0,273.0,273.0,273.0
20781,09/27/2016 02:01:29.9631,,402,1,0,52,48,0,0,0,1,1032,3,850,49,2048887,0,0,0.0709838867188,0.066162109375,17210.0,17210.0,17210.0,17210.0,-31.09375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.25,273.0,273.0,273.0,273.0
20782,09/27/2016 02:01:31.0112,,402,1,0,52,48,0,0,0,1,1032,3,851,49,2049387,0,0,0.0709838867188,0.0660400390625,17710.0,17710.0,17710.0,17710.0,-31.09375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.25,273.0,273.0,273.0,273.0
20783,09/27/2016 02:01:31.0542,,402,1,0,52,48,0,0,0,1,1032,3,852,49,2049887,0,0,0.0709838867188,0.0659790039062,18210.0,18210.0,18210.0,18210.0,-31.09375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.25,273.0,273.0,273.0,273.0
20784,09/27/2016 02:01:31.9223,,402,1,0,52,48,0,0,0,1,1032,3,853,49,2050387,0,0,0.0709838867188,0.0659790039062,18710.0,18710.0,18710.0,18710.0,19.734375,268.5,268.25,268.25,257.0,257.0,257.0,257.0,268.25,268.25,268.0,268.0,273.0,273.25,273.25,273.0
20785,09/27/2016 02:01:31.9693,,402,1,0,52,48,0,0,0,1,1032,3,854,49,2050887,0,0,0.0709838867188,0.0659790039062,19210.0,19210.0,19210.0,19210.0,19.734375,268.5,268.25,268.25,257.0,257.0,257.0,257.0,268.25,268.25,268.0,268.0,273.0,273.25,273.25,273.0
20786,09/27/2016 02:01:33.0244,,402,1,0,52,48,0,0,0,1,1032,3,855,49,2051387,0,0,0.0709838867188,0.0659790039062,19710.0,19710.0,19710.0,19710.0,19.734375,268.5,268.25,268.25,257.0,257.0,257.0,257.0,268.25,268.25,268.0,268.0,273.0,273.25,273.25,273.0
20787,09/27/2016 02:01:33.0694,,402,1,0,52,48,0,0,0,1,1032,3,856,49,2051887,0,0,0.0709838867188,0.0659790039062,20210.0,20210.0,20210.0,20210.0,19.734375,268.5,268.25,268.25,257.0,257.0,257.0,257.0,268.25,268.25,268.0,268.0,273.0,273.25,273.25,273.0
20788,09/27/2016 02:01:33.9155,,402,1,0,52,48,0,0,0,1,1032,3,857,49,2052387,0,0,0.0709838867188,0.0659790039062,20710.0,20710.0,20710.0,20710.0,19.734375,268.5,268.25,268.25,257.0,257.0,257.0,257.0,268.25,268.25,268.0,268.0,273.0,273.25,273.25,273.0
