,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,disk_1_status,disk_1_files,disk_1_sector,disk_1_playback_pct,disk_2_status,disk_2_files,disk_2_sector,disk_2_playback_pct,tcb_temperature,mcb_1_temperature,mcb_2_temperature,atb_temperature,ivb_temperature,psb_3v3_bus_voltage,psb_3v3_bus_current,psb_3v3_bus_temperature,psb_5v0_bus_voltage,psb_5v0_bus_current,psb_5v0_bus_temperature,psb_12v_bus_voltage,psb_12v_bus_current,psb_12v_bus_temperature
33,10/19/2016 09:06:48.0375,402,1,0,28,21,0,0,0,1,1028,3,34,49,279201,0,0,0,0,0,0,0,0,0,0,31.765625,27.71875,26.671875,30.140625,20.375,3.283203125,1.9970703125,30.125,4.99609375,0.72705078125,30.5625,12.0078125,0.212036132812,28.1875
34,10/19/2016 09:06:48.9326,402,1,0,28,21,0,0,0,1,1028,3,35,49,280202,0,0,0,0,0,0,0,0,0,0,31.3125,27.59375,26.90625,30.296875,20.375,3.283203125,1.994140625,30.125,4.99609375,0.72607421875,30.5625,12.0078125,0.212036132812,28.25
35,10/19/2016 09:06:50.0337,402,1,0,28,21,0,0,0,1,1028,3,36,49,281202,0,0,0,0,0,0,0,0,0,0,31.515625,27.609375,26.65625,30.09375,20.4375,3.283203125,1.99609375,30.1875,4.99609375,0.72705078125,30.5625,12.0078125,0.212036132812,28.25
36,10/19/2016 09:06:50.9228,402,1,0,28,21,0,0,0,1,1028,3,37,49,282202,0,0,0,0,0,0,0,0,0,0,31.15625,27.59375,26.546875,30.203125,20.4375,3.283203125,1.99609375,30.1875,4.99609375,0.72705078125,30.5625,12.0078125,0.203002929688,28.25
37,10/19/2016 09:06:52.0429,402,1,0,28,21,0,0,0,1,1028,3,38,49,283202,0,0,0,0,0,0,0,0,0,0,31.578125,27.78125,26.609375,30.046875,20.4375,3.283203125,1.9951171875,30.1875,4.99609375,0.72607421875,30.625,12.0078125,0.203002929688,28.25
38,10/19/2016 09:06:52.9300,402,1,0,28,21,0,0,0,1,1028,3,39,49,284202,0,0,0,0,0,0,0,0,0,0,31.65625,27.5625,26.734375,30.015625,20.4375,3.283203125,1.9970703125,30.1875,4.99609375,0.72705078125,30.625,12.0078125,0.212036132812,28.25
39,10/19/2016 09:06:54.0221,402,1,0,28,21,0,0,0,1,1028,3,40,49,285202,0,0,0,0,0,0,0,0,0,0,31.5625,27.5,26.6875,30.15625,20.4375,3.283203125,2.00390625,30.1875,4.99609375,0.72607421875,30.625,12.0078125,0.202026367188,28.3125
40,10/19/2016 09:06:54.9392,402,1,0,28,21,0,0,0,1,1028,3,41,49,286202,0,0,0,0,0,0,0,0,0,0,31.453125,27.5,26.8125,30.203125,20.4375,3.283203125,1.99609375,30.25,4.99609375,0.72705078125,30.625,12.0078125,0.212036132812,28.3125
41,10/19/2016 09:06:56.0283,402,1,0,28,21,0,0,0,1,1028,3,42,49,287202,0,0,0,0,0,0,0,0,0,0,31.375,27.625,26.828125,30.328125,20.4375,3.283203125,1.9951171875,30.25,4.99609375,0.72607421875,30.6875,12.0078125,0.212036132812,28.3125
42,10/19/2016 09:06:56.9154,402,1,0,28,21,0,0,0,1,1028,3,43,49,288202,0,0,0,0,0,0,0,0,0,0,31.765625,27.796875,26.875,30.21875,20.4375,3.283203125,1.9931640625,30.25,4.99609375,0.72607421875,30.6875,12.0078125,0.2080078125,28.3125
43,10/19/2016 09:06:58.0155,402,1,0,28,21,0,0,0,1,1028,3,44,49,289202,0,0,0,0,0,0,0,0,0,0,31.609375,27.53125,26.9375,30.109375,20.4375,3.283203125,1.99609375,30.25,4.99609375,0.72705078125,30.6875,12.0078125,0.212036132812,28.3125
44,10/19/2016 09:06:58.9186,402,1,0,28,21,0,0,0,1,1028,3,45,49,290202,0,0,0,0,0,0,0,0,0,0,31.75,27.65625,26.6875,30.15625,20.4375,3.283203125,2.0,30.25,4.99609375,0.72607421875,30.6875,12.0078125,0.203002929688,28.375
45,10/19/2016 09:07:00.0057,402,1,0,28,21,0,0,0,1,1028,3,46,49,291202,0,0,0,0,0,0,0,0,0,0,31.546875,27.8125,26.796875,30.34375,20.4375,3.283203125,1.99609375,30.3125,4.99609375,0.72607421875,30.6875,12.0078125,0.212036132812,28.375
46,10/19/2016 09:07:00.9088,402,1,0,28,21,0,0,0,1,1028,3,47,49,292202,0,0,0,0,0,0,0,0,0,0,31.6875,27.6875,26.875,30.40625,20.4375,3.283203125,1.998046875,30.3125,4.99609375,0.72607421875,30.75,12.0078125,0.212036132812,28.375
47,10/19/2016 09:07:02.0049,402,1,0,28,21,0,0,0,1,1028,3,48,49,293202,0,0,0,0,0,0,0,0,0,0,31.625,27.875,26.84375,30.21875,20.4375,3.283203125,2.00390625,30.3125,4.99609375,0.72705078125,30.75,12.0078125,0.212036132812,28.375
48,10/19/2016 09:07:02.8990,402,1,0,28,21,0,0,0,1,1028,3,49,49,294202,0,0,0,0,0,0,0,0,0,0,31.65625,27.625,26.625,30.046875,20.4375,3.283203125,1.9970703125,30.3125,4.99609375,0.72607421875,30.75,12.0078125,0.212036132812,28.375
49,10/19/2016 09:07:04.0011,402,1,0,28,21,0,0,0,1,1028,3,50,49,295202,0,0,0,0,0,0,0,0,0,0,31.609375,27.6875,26.765625,30.15625,20.4375,3.283203125,1.998046875,30.3125,4.99609375,0.72705078125,30.75,12.0078125,0.203002929688,28.375
50,10/19/2016 09:07:04.8932,402,1,0,28,21,0,0,0,1,1028,3,51,49,296202,0,0,0,0,0,0,0,0,0,0,31.328125,27.828125,26.8125,30.1875,20.4375,3.283203125,2.01171875,30.375,4.99609375,0.72607421875,30.75,12.0078125,0.212036132812,28.4375
51,10/19/2016 09:07:06.0003,402,1,0,28,21,0,0,0,1,1028,3,52,49,297202,0,0,0,0,0,0,0,0,0,0,31.59375,27.703125,26.875,30.40625,20.4375,3.283203125,1.9970703125,30.375,4.99609375,0.72607421875,30.8125,12.0078125,0.2099609375,28.4375
52,10/19/2016 09:07:06.8914,402,1,0,28,21,0,0,0,1,1028,3,53,49,298202,0,0,0,0,0,0,0,0,0,0,31.75,27.703125,26.75,30.109375,20.4375,3.283203125,2.001953125,30.375,4.99609375,0.72802734375,30.8125,12.0078125,0.212036132812,28.4375
53,10/19/2016 09:07:07.9995,402,1,0,28,21,0,0,0,1,1028,3,54,49,299202,0,0,0,0,0,0,0,0,0,0,31.546875,27.703125,26.84375,30.3125,20.4375,3.283203125,1.9951171875,30.375,4.99609375,0.72705078125,30.8125,12.0078125,0.212036132812,28.4375
54,10/19/2016 09:07:08.8956,402,1,0,28,21,0,0,0,1,1028,3,55,49,300202,0,0,0,0,0,0,0,0,0,0,31.59375,27.640625,26.8125,30.34375,20.4375,3.279296875,1.9970703125,30.375,4.99609375,0.72607421875,30.8125,12.0078125,0.203002929688,28.4375
55,10/19/2016 09:07:09.9957,402,1,0,28,21,0,0,0,1,1028,3,56,49,301202,0,0,0,0,0,0,0,0,0,0,31.453125,27.671875,26.71875,30.0,20.4375,3.283203125,2.005859375,30.4375,4.99609375,0.72705078125,30.8125,12.0078125,0.212036132812,28.4375
56,10/19/2016 09:07:10.8978,402,1,0,28,21,0,0,0,1,1028,3,57,49,302202,0,0,0,0,0,0,0,0,0,0,31.875,27.65625,26.828125,30.40625,20.4375,3.283203125,1.9951171875,30.4375,4.99609375,0.72607421875,30.875,12.0078125,0.203002929688,28.5
57,10/19/2016 09:07:12.0059,402,1,0,28,21,0,0,0,1,1028,3,58,49,303202,0,0,0,0,0,0,0,0,0,0,31.859375,27.78125,26.765625,30.15625,20.4375,3.283203125,1.99609375,30.4375,4.99609375,0.72607421875,30.875,12.0078125,0.212036132812,28.5
58,10/19/2016 09:07:12.8960,402,1,0,28,21,0,0,0,1,1028,3,59,49,304202,0,0,0,0,0,0,0,0,0,0,32.09375,27.484375,26.890625,30.3125,20.4375,3.283203125,2.01171875,30.4375,4.99609375,0.72705078125,30.875,12.0078125,0.212036132812,28.5
59,10/19/2016 09:07:13.9941,402,1,0,28,21,0,0,0,1,1028,3,60,49,305202,0,0,0,0,0,0,0,0,0,0,31.765625,27.796875,26.875,30.265625,20.4375,3.283203125,1.99609375,30.4375,4.99609375,0.72705078125,30.875,12.0078125,0.212036132812,28.5
60,10/19/2016 09:07:14.9112,402,1,0,28,21,0,0,0,1,1028,3,61,49,306202,0,0,0,0,0,0,0,0,0,0,31.59375,27.875,26.828125,30.421875,20.4375,3.283203125,1.998046875,30.4375,4.99609375,0.72607421875,30.9375,12.0078125,0.212036132812,28.5
61,10/19/2016 09:07:16.0033,402,1,0,28,21,0,0,0,1,1028,3,62,49,307202,0,0,0,0,0,0,0,0,0,0,31.5625,27.671875,26.859375,30.234375,20.4375,3.283203125,1.9951171875,30.5,4.99609375,0.72705078125,30.9375,12.0078125,0.203002929688,28.5
62,10/19/2016 09:07:16.9044,402,1,0,28,21,0,0,0,1,1028,3,63,49,308202,0,0,0,0,0,0,0,0,0,0,31.953125,27.765625,26.65625,30.265625,20.4375,3.283203125,1.998046875,30.5,4.99609375,0.72607421875,30.9375,12.0078125,0.212036132812,28.5625
63,10/19/2016 09:07:18.0015,402,1,0,28,21,0,0,0,1,1028,3,64,49,309202,0,0,0,0,0,0,0,0,0,0,31.984375,27.796875,26.734375,30.28125,20.4375,3.283203125,2.00390625,30.5,4.99609375,0.72607421875,30.9375,12.0078125,0.212036132812,28.5625
64,10/19/2016 09:07:18.8976,402,1,0,28,21,0,0,0,1,1028,3,65,49,310202,0,0,0,0,0,0,0,0,0,0,31.90625,27.859375,26.703125,30.21875,20.4375,3.283203125,1.998046875,30.5,4.99609375,0.72607421875,30.9375,12.0078125,0.212036132812,28.5625
65,10/19/2016 09:07:19.9937,402,1,0,28,21,0,0,0,1,1028,3,66,49,311202,0,0,0,0,0,0,0,0,0,0,31.828125,27.828125,26.90625,30.25,20.5,3.283203125,1.9990234375,30.5,4.99609375,0.72705078125,30.9375,12.0078125,0.212036132812,28.5625
66,10/19/2016 09:07:21.0988,402,1,0,28,21,0,0,0,1,1028,3,67,49,312202,0,0,0,0,0,0,0,0,0,0,31.59375,27.765625,26.796875,30.296875,20.5,3.283203125,2.009765625,30.5,4.99609375,0.72705078125,31.0,12.0078125,0.203002929688,28.5625
67,10/19/2016 09:07:21.9869,402,1,0,28,21,0,0,0,1,1028,3,68,49,313202,0,0,0,0,0,0,0,0,0,0,32.0625,27.703125,26.734375,30.078125,20.5,3.283203125,1.9970703125,30.5625,4.99609375,0.72705078125,31.0,12.0078125,0.212036132812,28.5625
68,10/19/2016 09:07:22.8960,402,1,0,28,21,0,0,0,1,1028,3,69,49,314202,0,0,0,0,0,0,0,0,0,0,31.515625,27.890625,26.828125,30.21875,20.5,3.283203125,1.9970703125,30.5625,4.99609375,0.72705078125,31.0,12.0078125,0.203002929688,28.625
69,10/19/2016 09:07:23.9871,402,1,0,28,21,0,0,0,1,1028,3,70,49,315202,0,0,0,0,0,0,0,0,0,0,31.765625,27.828125,26.734375,30.265625,20.5,3.283203125,1.99609375,30.5625,4.99609375,0.72705078125,31.0,12.0078125,0.212036132812,28.625
70,10/19/2016 09:07:25.0762,402,1,0,28,21,0,0,0,1,1028,3,71,49,316202,0,0,0,0,0,0,0,0,0,0,31.65625,27.796875,26.90625,30.1875,20.5,3.283203125,1.9990234375,30.5625,4.99609375,0.72705078125,31.0,12.0078125,0.212036132812,28.625
71,10/19/2016 09:07:25.9833,402,1,0,28,21,0,0,0,1,1028,3,72,49,317202,0,0,0,0,0,0,0,0,0,0,31.984375,27.59375,26.796875,30.15625,20.5,3.283203125,2.00390625,30.5625,4.99609375,0.72607421875,31.0625,12.0078125,0.212036132812,28.625
72,10/19/2016 09:07:27.0744,402,1,0,28,21,0,0,0,1,1028,3,73,49,318202,0,0,0,0,0,0,0,0,0,0,31.765625,27.78125,26.890625,30.078125,20.5,3.283203125,1.9990234375,30.625,4.99609375,0.72705078125,31.0625,12.0078125,0.212036132812,28.625
73,10/19/2016 09:07:27.9755,402,1,0,28,21,0,0,0,1,1028,3,74,49,319202,0,0,0,0,0,0,0,0,0,0,32.21875,27.8125,26.890625,30.1875,20.5,3.283203125,1.994140625,30.625,4.99609375,0.72705078125,31.0625,12.0078125,0.203002929688,28.625
74,10/19/2016 09:07:29.0646,402,1,0,28,21,0,0,0,1,1028,3,75,49,320202,0,0,0,0,0,0,0,0,0,0,31.75,27.84375,26.875,30.328125,20.5,3.283203125,2.01171875,30.625,4.99609375,0.72607421875,31.0625,12.0078125,0.212036132812,28.6875
75,10/19/2016 09:07:29.9657,402,1,0,28,21,0,0,0,1,1028,3,76,49,321202,0,0,0,0,0,0,0,0,0,0,32.0,27.765625,27.03125,30.3125,20.5,3.283203125,1.9970703125,30.625,4.99609375,0.72705078125,31.0625,12.0078125,0.212036132812,28.6875
76,10/19/2016 09:07:31.0638,402,1,0,28,21,0,0,0,1,1028,3,77,49,322202,0,0,0,0,0,0,0,0,0,0,32.375,27.890625,26.84375,30.40625,20.5,3.283203125,1.998046875,30.625,4.99609375,0.72705078125,31.125,12.0078125,0.212036132812,28.6875
77,10/19/2016 09:07:31.9619,402,1,0,28,21,0,0,0,1,1028,3,78,49,323202,0,0,0,0,0,0,0,0,0,0,31.828125,27.734375,26.921875,30.5,20.5,3.283203125,1.9970703125,30.625,4.99609375,0.72705078125,31.125,12.0078125,0.212036132812,28.6875
78,10/19/2016 09:07:33.0510,402,1,0,28,21,0,0,0,1,1028,3,79,49,324202,0,0,0,0,0,0,0,0,0,0,31.75,27.953125,26.84375,30.078125,20.5,3.283203125,1.9990234375,30.6875,4.99609375,0.72705078125,31.125,12.0078125,0.203002929688,28.6875
79,10/19/2016 09:07:33.9601,402,1,0,28,21,0,0,0,1,1028,3,80,49,325202,0,0,0,0,0,0,0,0,0,0,32.03125,27.796875,26.8125,30.3125,20.5,3.283203125,2.00390625,30.6875,4.99609375,0.72705078125,31.125,12.0078125,0.212036132812,28.6875
80,10/19/2016 09:07:35.0682,402,1,0,28,21,0,0,0,1,1028,3,81,49,326202,0,0,0,0,0,0,0,0,0,0,31.921875,27.890625,26.953125,30.328125,20.5,3.283203125,1.9970703125,30.6875,4.99609375,0.72607421875,31.125,12.0078125,0.203002929688,28.6875
81,10/19/2016 09:07:35.9573,402,1,0,28,21,0,0,0,1,1028,3,82,49,327202,0,0,0,0,0,0,0,0,0,0,31.484375,27.90625,26.984375,30.265625,20.5,3.283203125,1.998046875,30.6875,4.99609375,0.72705078125,31.125,12.0078125,0.212036132812,28.75
82,10/19/2016 09:07:37.0504,402,1,0,28,21,0,0,0,1,1028,3,83,49,328202,0,0,0,0,0,0,0,0,0,0,32.21875,27.875,26.90625,30.34375,20.5,3.283203125,2.009765625,30.6875,4.99609375,0.72705078125,31.1875,12.0078125,0.212036132812,28.75
83,10/19/2016 09:07:37.9645,402,1,0,28,21,0,0,0,1,1028,3,84,49,329202,0,0,0,0,0,0,0,0,0,0,31.5625,27.6875,27.125,30.390625,20.5,3.279296875,1.998046875,30.6875,4.99609375,0.72607421875,31.1875,12.0078125,0.212036132812,28.75
84,10/19/2016 09:07:39.0616,402,1,0,28,21,0,0,0,1,1028,3,85,49,330202,0,0,0,0,0,0,0,0,0,0,31.84375,27.921875,26.921875,30.234375,20.5,3.283203125,2.001953125,30.75,4.99609375,0.72705078125,31.1875,12.0078125,0.212036132812,28.75
85,10/19/2016 09:07:39.9517,402,1,0,28,21,0,0,0,1,1028,3,86,49,331202,0,0,0,0,0,0,0,0,0,0,31.796875,27.75,27.03125,30.359375,20.5625,3.283203125,2.0,30.75,4.99609375,0.72607421875,31.1875,12.0078125,0.203002929688,28.75
86,10/19/2016 09:07:41.0508,402,1,0,28,21,0,0,0,1,1028,3,87,49,332202,0,0,0,0,0,0,0,0,0,0,31.625,27.796875,26.875,30.4375,20.5625,3.279296875,1.998046875,30.75,4.99609375,0.72607421875,31.1875,12.0078125,0.212036132812,28.75
87,10/19/2016 09:07:41.9519,402,1,0,28,21,0,0,0,1,1028,3,88,49,333202,0,0,0,0,0,0,0,0,0,0,32.1875,27.765625,26.921875,30.421875,20.5625,3.283203125,2.0078125,30.75,4.99609375,0.72607421875,31.1875,12.0078125,0.212036132812,28.75
